CMDLINE python python/solution_loop.py
MEM 36.402344 1614526290.5149
MEM 36.402344 1614526290.6153
MEM 36.402344 1614526290.7156
MEM 36.652344 1614526290.8159
MEM 36.652344 1614526290.9162
MEM 36.652344 1614526291.0165
MEM 36.652344 1614526291.1168
MEM 36.902344 1614526291.2171
MEM 36.902344 1614526291.3174
MEM 36.902344 1614526291.4177
MEM 36.902344 1614526291.5180
MEM 37.152344 1614526291.6183
MEM 37.152344 1614526291.7186
MEM 37.152344 1614526291.8189
MEM 37.152344 1614526291.9192
MEM 37.152344 1614526292.0195
MEM 37.402344 1614526292.1199
MEM 37.402344 1614526292.2202
MEM 37.402344 1614526292.3205
MEM 37.402344 1614526292.4208
MEM 37.652344 1614526292.5211
MEM 37.652344 1614526292.6214
MEM 37.652344 1614526292.7217
MEM 37.652344 1614526292.8220
MEM 37.652344 1614526292.9224
MEM 37.902344 1614526293.0227
MEM 37.902344 1614526293.1230
MEM 37.902344 1614526293.2233
MEM 37.902344 1614526293.3236
MEM 38.152344 1614526293.4239
MEM 38.152344 1614526293.5242
MEM 38.152344 1614526293.6245
MEM 38.152344 1614526293.7249
MEM 38.402344 1614526293.8252
MEM 38.402344 1614526293.9255
MEM 38.402344 1614526294.0258
MEM 38.402344 1614526294.1261
MEM 38.652344 1614526294.2264
MEM 38.652344 1614526294.3266
MEM 38.652344 1614526294.4270
MEM 38.652344 1614526294.5273
MEM 38.902344 1614526294.6275
MEM 38.902344 1614526294.7278
MEM 38.902344 1614526294.8281
MEM 38.902344 1614526294.9284
MEM 39.152344 1614526295.0287
MEM 39.152344 1614526295.1290
MEM 39.152344 1614526295.2294
MEM 39.152344 1614526295.3297
MEM 39.402344 1614526295.4300
MEM 39.402344 1614526295.5303
MEM 39.402344 1614526295.6307
MEM 39.402344 1614526295.7309
MEM 39.652344 1614526295.8312
MEM 39.652344 1614526295.9315
MEM 39.652344 1614526296.0318
MEM 39.652344 1614526296.1321
MEM 39.902344 1614526296.2324
MEM 39.902344 1614526296.3328
MEM 39.902344 1614526296.4331
MEM 39.902344 1614526296.5334
MEM 39.902344 1614526296.6337
MEM 39.902344 1614526296.7340
MEM 40.152344 1614526296.8343
MEM 40.152344 1614526296.9347
MEM 40.152344 1614526297.0350
MEM 40.152344 1614526297.1354
MEM 40.152344 1614526297.2357
MEM 40.152344 1614526297.3360
MEM 40.152344 1614526297.4363
MEM 40.152344 1614526297.5366
MEM 40.152344 1614526297.6369
MEM 40.402344 1614526297.7372
MEM 40.402344 1614526297.8375
MEM 40.402344 1614526297.9378
MEM 40.402344 1614526298.0381
MEM 40.402344 1614526298.1384
MEM 40.402344 1614526298.2387
MEM 40.402344 1614526298.3391
MEM 40.402344 1614526298.4394
MEM 40.402344 1614526298.5397
MEM 40.652344 1614526298.6400
MEM 40.652344 1614526298.7403
MEM 40.652344 1614526298.8406
MEM 40.652344 1614526298.9409
MEM 40.652344 1614526299.0412
MEM 40.652344 1614526299.1415
MEM 40.652344 1614526299.2418
MEM 40.652344 1614526299.3421
MEM 40.902344 1614526299.4424
MEM 40.902344 1614526299.5427
MEM 40.902344 1614526299.6430
MEM 40.902344 1614526299.7433
MEM 40.902344 1614526299.8437
MEM 40.902344 1614526299.9440
MEM 40.902344 1614526300.0443
MEM 40.902344 1614526300.1446
MEM 41.152344 1614526300.2449
MEM 41.152344 1614526300.3452
MEM 41.152344 1614526300.4456
MEM 41.152344 1614526300.5459
MEM 41.152344 1614526300.6462
MEM 41.152344 1614526300.7465
MEM 41.152344 1614526300.8468
MEM 41.402344 1614526300.9471
MEM 41.402344 1614526301.0474
MEM 41.402344 1614526301.1477
MEM 41.402344 1614526301.2480
MEM 41.402344 1614526301.3484
MEM 41.402344 1614526301.4487
MEM 41.402344 1614526301.5490
MEM 41.652344 1614526301.6493
MEM 41.652344 1614526301.7496
MEM 41.652344 1614526301.8499
MEM 41.652344 1614526301.9502
MEM 41.652344 1614526302.0505
MEM 41.652344 1614526302.1508
MEM 41.652344 1614526302.2511
MEM 41.902344 1614526302.3514
MEM 41.902344 1614526302.4518
MEM 41.902344 1614526302.5521
MEM 41.902344 1614526302.6524
MEM 41.902344 1614526302.7527
MEM 41.902344 1614526302.8530
MEM 41.902344 1614526302.9533
MEM 42.152344 1614526303.0536
MEM 42.152344 1614526303.1539
MEM 42.152344 1614526303.2542
MEM 42.152344 1614526303.3545
MEM 42.152344 1614526303.4548
MEM 42.152344 1614526303.5552
MEM 42.402344 1614526303.6556
MEM 42.402344 1614526303.7559
MEM 42.402344 1614526303.8562
MEM 42.402344 1614526303.9565
MEM 42.402344 1614526304.0568
MEM 42.402344 1614526304.1571
MEM 42.402344 1614526304.2574
MEM 42.652344 1614526304.3578
MEM 42.652344 1614526304.4582
MEM 42.652344 1614526304.5584
MEM 42.652344 1614526304.6588
MEM 42.652344 1614526304.7591
MEM 42.652344 1614526304.8594
MEM 42.902344 1614526304.9597
MEM 42.902344 1614526305.0600
MEM 42.902344 1614526305.1603
MEM 63.066406 1614526305.2607
MEM 64.871094 1614526305.3611
